panel,cfg_weight,block_id,anchor_target_rho,lpips_alex,dino_cosine_distance,seed_count,severity_tv,severity_surprisal,connected_components,bounding_box_area,D_desc_rate,descendant_count,first_descendant_step,maximum_seed_to_descendant_radius,descendant_connected_components,descendant_fraction_distance_le_5,split_incidence,expected_seed_count,single_seed_probability,multi_seed_probability,unconditional_lpips_alex,unconditional_dino_cosine_distance
official_cfg1,1.0,P3S_B012,0.5,0.04661838989704847,0.05356484651565552,1.25,0.013240510111633255,7.435335636216967,1.25,14.25,0.10169491525423728,12.0,25.75,12.5,8.5,0.6676573426573427,0.08306795454754612,0.08622132742689378,0.07998095695547397,0.003086997592072102,0.003872494293047806,0.004449522235708756
official_cfg1,1.0,P3S_B013,0.3,0.0067661533248610795,0.0013883709907531738,1.0,0.015276041441790154,8.282573555824136,1.0,1.0,0.02586206896551724,1.5,31.0,3.5,2.0,0.625,0.1736455578692363,0.18933157170593512,0.15878107227755803,0.014864485591678233,0.0011749124687242902,0.00024108445521879918
official_cfg1,1.0,P3S_B013,0.5,0.02640442713163793,0.009301111102104187,1.0,0.012665982016912143,9.60113685975815,1.0,1.0,0.07838983050847458,9.25,24.75,14.25,7.0,0.49657287157287155,0.08228595800680039,0.08537493551627029,0.07926112456642599,0.003024833440374401,0.0021727135821475794,0.00076535083756433
official_cfg1,1.0,P3S_B014,0.3,0.013917544565629214,0.006922245025634766,1.0,0.01377833195341253,7.306873431944055,1.0,1.0,0.025862068965517244,1.5,30.5,4.0,2.25,0.4,0.15304057335311672,0.164988184560754,0.14163506011835755,0.01140551323475932,0.0021299489999914486,0.0010593843476139047
official_cfg1,1.0,P3S_B014,0.5,0.058962610084563494,0.030903726816177368,1.0,0.016547220644958734,6.513262039332052,1.0,1.0,0.09322033898305085,11.0,25.25,13.25,8.75,0.48580586080586075,0.08233842486356224,0.08539158221785582,0.07934710858186127,0.0029913162817009746,0.004854888440207349,0.002544564188457874
official_cfg1,1.0,P3S_B015,0.3,0.002055924914429852,0.0008319765329360962,1.0,0.00760874642843307,3.7948723593506464,1.0,1.0,0.02586206896551724,1.5,30.666666666666668,9.0,2.0,0.125,0.15751639157775377,0.17026877262480467,0.1453654299595694,0.012150961618184429,0.0003238418738757925,0.0001310499413454641
official_cfg1,1.0,P3S_B015,0.5,0.0249699039850384,0.010088518261909485,1.0,0.01169981965864816,9.098172242302155,1.0,1.0,0.0826271186440678,9.75,26.25,14.5,8.75,0.475,0.07466921110292735,0.07718604923564266,0.07219903233589814,0.0024701787670293063,0.0018644830318786591,0.000753301699814257
primary_cfg3,3.0,P3S_B000,0.3,0.020212984993122518,0.0032084882259368896,1.25,0.02245878704101244,7.38499509672673,1.25,9.875,0.05603448275862069,3.25,30.625,8.625,3.75,0.6145833333333333,0.1994443368090998,0.22050375974874112,0.1796610285635495,0.019783308245550253,0.004031365386885607,0.0006399148063817881
primary_cfg3,3.0,P3S_B000,0.5,0.055952311027795076,0.009565427899360657,1.0,0.019696067610886027,8.103885464232551,1.0,1.0,0.10805084745762712,12.75,25.25,16.75,10.125,0.48066014867485457,0.13209684360699858,0.14014705705664599,0.12430906182884383,0.007787781778154627,0.007391123679288788,0.0012635628332558655
primary_cfg3,3.0,P3S_B001,0.3,0.019340786966495216,0.006919391453266144,1.0,0.01701759989946142,7.413016682958958,1.0,1.0,0.07974137931034483,4.625,30.285714285714285,12.0,5.125,0.3923611111111111,0.18938280623431525,0.2083201320141566,0.17153994180052504,0.01784286443379028,0.0036628125104949333,0.001310413770853279
