block_id,anchor_target_rho,lpips_alex,prediction_S0,prediction_S1,abs_error_S0,abs_error_S1,propagation_contribution,rank_y,rank_c
P3S_B005,0.5,0.040617816150188446,0.04534047430333657,0.049330152755276205,0.004722658153148124,0.008712336605087759,0.003989678451939635,228.0,203.0
P3S_B005,0.5,0.008107006549835205,0.037132340225712476,0.012695435173488107,0.02902533367587727,0.004588428623652902,-0.02443690505222437,63.0,11.0
P3S_B005,0.5,0.020345930010080338,0.03079093080198267,0.022608776244004914,0.010445000791902331,0.0022628462339245765,-0.008182154557977755,126.0,137.0
P3S_B005,0.5,0.03133644163608551,0.02933663525734565,0.018435271802027246,0.0019998063787398587,0.012901169834058264,-0.010901363455318405,185.0,117.0
P3S_B005,0.5,0.031207596883177757,0.034410759282852824,0.02547277782025732,0.0032031623996750663,0.005734819062920438,-0.008937981462595505,184.0,131.0
P3S_B005,0.5,0.011349683627486229,0.02583220016778922,0.013833862676321935,0.01448251654030299,0.002484179048835706,-0.011998337491467285,82.0,107.0
P3S_B005,0.5,0.008968534879386425,0.0324812942234925,0.013228837138800584,0.023512759344106078,0.004260302259414159,-0.01925245708469192,69.0,44.0
P3S_B005,0.5,0.027518484741449356,0.03216274866642426,0.033562444611169716,0.004644263924974905,0.00604395986972036,0.0013996959447454549,165.0,189.0
P3S_B006,0.3,0.0009035547263920307,0.005757362635605097,0.0015901366462128738,0.004853807909213066,0.0006865819198208431,-0.004167225989392223,37.0,97.0
P3S_B006,0.3,1.2694945326074958e-05,-0.0013911860500335736,0.004594798092782022,0.0014038809953596486,0.004582103147455947,0.005985984142815596,12.0,258.0
P3S_B006,0.3,0.0003059495647903532,0.007873806888100738,0.002492841859036754,0.007567857323310384,0.002186892294246401,-0.0053809650290639836,21.0,76.0
P3S_B006,0.3,0.0009263266110792756,-0.0017333638702853836,0.001278750860784092,0.002659690481364659,0.00035242424970481634,0.0030121147310694756,38.0,223.0
P3S_B006,0.3,0.0028446591459214687,0.0041986729347100425,0.008296551215139187,0.0013540137887885738,0.005451892069217718,0.004097878280429144,82.0,237.0
P3S_B006,0.3,0.015312428586184978,0.019140570207786603,0.014464806371350508,0.0038281416216016245,0.0008476222148344707,-0.004675763836436095,241.0,90.0
P3S_B006,0.3,0.003505512373521924,0.011735024509668455,0.005533526904413643,0.008229512136146531,0.0020280145308917193,-0.006201497605254812,96.0,63.0
P3S_B006,0.3,0.000714397756382823,0.003653554548153023,0.007863871325651178,0.0029391567917702,0.007149473569268355,0.004210316777498155,31.0,239.0
P3S_B006,0.5,0.011942652985453606,0.031029610290399086,0.026105753886335056,0.01908695730494548,0.01416310090088145,-0.0049238564040640295,86.0,154.0
P3S_B006,0.5,0.024226631969213486,0.03599843280089227,0.0305157174124271,0.011771800831678787,0.006289085443213615,-0.005482715388465172,144.0,152.0
P3S_B006,0.5,0.00424909545108676,0.02177552615030546,0.01301047040375139,0.0175264306992187,0.00876137495266463,-0.00876505574655407,44.0,134.0
P3S_B006,0.5,0.018835268914699554,0.0262523947132442,0.028762378970439626,0.007417125798544647,0.009927110055740072,0.0025099842571954245,123.0,192.0
P3S_B006,0.5,0.012744542211294174,0.03159664532701528,0.015001124471055954,0.01885210311572111,0.00225658225976178,-0.016595520855959327,91.0,71.0
P3S_B006,0.5,0.03748259320855141,0.033941421638377954,0.04262597671359587,0.003541171570173453,0.005143383505044466,0.008684555075217919,217.0,227.0
P3S_B006,0.5,0.014865454286336899,0.037808994343984006,0.025912393257116233,0.022943540057647108,0.011046938970779335,-0.011896601086867773,103.0,108.0
P3S_B006,0.5,0.005867636762559414,0.027176257340197362,0.012984131069650559,0.021308620577637948,0.007116494307091145,-0.014192126270546803,54.0,87.0
P3S_B007,0.3,0.011883032508194447,0.01811309310514469,0.005145250764880696,0.006230060596950242,0.006737781743313751,-0.012967842340263993,211.0,6.0
P3S_B007,0.3,0.022647587582468987,0.008321856010155336,0.01745918184465309,0.01432573157231365,0.005188405737815895,0.009137325834497756,283.0,290.0
P3S_B007,0.3,0.010764917358756065,0.025317331374562154,0.01818827700183035,0.014552414015806089,0.007423359643074286,-0.007129054372731803,198.0,49.0
P3S_B007,0.3,0.02563224360346794,0.010131121208774477,0.029507730428892466,0.015501122394693465,0.0038754868254245248,0.01937660922011799,292.0,316.0
P3S_B007,0.3,0.006951695308089256,0.01540775625038576,0.0038241455894640827,0.008456060942296504,0.0031275497186251736,-0.011583610660921678,160.0,10.0
P3S_B007,0.3,0.013484112918376923,0.007827545496972052,0.0064994205121025085,0.0056565674214048706,0.006984692406274414,-0.0013281249848695435,226.0,154.0
P3S_B007,0.3,0.0015254538739100099,0.006140110823135793,0.018315364970104206,0.004614656949225783,0.016789911096194196,0.012175254146968413,47.0,302.0
P3S_B007,0.3,0.009535863064229488,0.02059694697524188,0.015100341740335393,0.011061083911012393,0.005564478676105905,-0.005496605234906488,188.0,75.0
P3S_B007,0.5,0.027956992387771606,0.03843414895722122,0.04303964178515057,0.010477156569449614,0.015082649397378967,0.004605492827929353,167.0,206.0
P3S_B007,0.5,0.027069056406617165,0.04475637805879509,0.06658813802725497,0.01768732165217793,0.0395190816206378,0.021831759968459874,160.0,277.0
P3S_B007,0.5,0.027094323188066483,0.027674229977249186,0.02620333621403456,0.0005799067891827034,0.000890986974031921,-0.0014708937632146243,162.0,171.0
P3S_B007,0.5,0.057526424527168274,0.0218637740017194,0.04538909355299879,0.03566265052544887,0.012137330974169483,0.02352531955127939,276.0,282.0
P3S_B007,0.5,0.043975695967674255,0.02859395503375206,0.08835539209565005,0.015381740933922194,0.04437969612797579,0.05976143706189799,241.0,318.0
P3S_B007,0.5,0.0006983705097809434,0.029087703483735447,0.019206744948298403,0.028389332973954504,0.01850837443851746,-0.009880958535437044,15.0,124.0
P3S_B007,0.5,0.040326718240976334,0.027924703866280313,0.043258234390073536,0.01240201437469602,0.002931516149097202,0.015333530523793222,224.0,257.0
P3S_B007,0.5,0.0499752014875412,0.03665823480316768,0.05018131454952238,0.013316966684373516,0.00020611306198117796,0.013523079746354694,256.0,249.0
P3S_B008,0.3,0.0007151606259867549,-0.0016928219293312029,-0.004284080792910639,0.0024079825553179578,0.004999241418897394,-0.002591258863579436,32.0,131.0
P3S_B008,0.3,2.2554343104275176e-06,-0.00440857567364621,-0.0023239453891148766,0.004410831107956637,0.002326200823425304,0.002084630284531333,5.0,211.0
P3S_B008,0.3,0.003762108739465475,-0.0005712554979245034,0.008699421200025693,0.0043333642373899785,0.004937312460560218,0.009270676697950196,103.0,292.0
P3S_B008,0.3,0.015301879495382309,0.004681188540885943,0.01015207595047204,0.010620690954496366,0.005149803544910269,0.005470887409586097,240.0,251.0
P3S_B008,0.3,0.0012630103155970573,-0.0020612254093547826,0.0004975910083352651,0.00332423572495184,0.0007654193072617922,0.0025588164176900477,45.0,217.0
P3S_B008,0.3,0.003748993156477809,0.01806706811725739,0.015350053202546987,0.014318074960779581,0.011601060046069178,-0.002717014914710403,102.0,126.0
P3S_B008,0.3,0.0017607099143788218,0.011458701642036138,0.012549545389750644,0.009697991727657316,0.010788835475371822,0.001090843747714506,54.0,194.0
P3S_B008,0.3,0.02225722372531891,0.032197613476973704,0.03135807520195499,0.009940389751654795,0.009100851476636078,-0.0008395382750187169,280.0,163.0
P3S_B008,0.5,4.6658615815431403e-07,0.01132246909752941,-0.001876469830551529,0.011322002511371256,0.0018769364167096833,-0.013198938928080939,2.0,95.0
P3S_B008,0.5,0.0023668210487812757,0.018595507963757273,0.009220680476273774,0.016228686914975997,0.006853859427492498,-0.009374827487483499,28.0,126.0
P3S_B008,0.5,4.031422213301994e-05,0.013798155512124939,0.0016585298766542307,0.01375784128999192,0.0016182156545212108,-0.012139625635470708,7.0,106.0
P3S_B008,0.5,0.010931321419775486,0.030599913072704946,0.009999604982405624,0.01966859165292946,0.0009317164373698616,-0.02060030809029932,79.0,36.0
P3S_B008,0.5,0.06078799441456795,0.03668401228515408,0.0568063009914042,0.024103982129413865,0.0039816934231637485,0.020122288706250116,284.0,273.0
P3S_B008,0.5,0.029267795383930206,0.040468811421878526,0.054137700907335315,0.01120101603794832,0.02486990552340511,0.01366888948545679,173.0,250.0
P3S_B008,0.5,0.03813415765762329,0.035053663904231834,0.054085568964443095,0.003080493753391457,0.015951411306819804,0.01903190506021126,219.0,271.0
P3S_B008,0.5,0.015087565407156944,0.026181019812741103,0.052458699170746206,0.011093454405584159,0.03737113376358926,0.026277679358005103,106.0,290.0
P3S_B009,0.3,0.003131250385195017,-0.0006087424760017994,-0.0007386679072973537,0.0037399928611968163,0.0038699182924923706,-0.0001299254312955543,90.0,174.0
P3S_B009,0.3,0.013954465277493,0.02316399534838686,0.02694118391773654,0.00920953007089386,0.01298671864024354,0.0037771885693496793,231.0,234.0
P3S_B009,0.3,0.004433111287653446,0.007624836298753884,0.003287400831732977,0.0031917250111004377,0.0011457104559204692,-0.004337435467020907,120.0,94.0
P3S_B009,0.3,0.000984563259407878,-0.0028070792981263228,-0.0016872146342013783,0.0037916425575342007,0.002671777893609256,0.0011198646639249445,40.0,195.0
P3S_B009,0.3,0.0008359723724424839,0.006597303145551625,0.0075103655321571115,0.005761330773109141,0.006674393159714628,0.0009130623866054864,33.0,191.0
P3S_B009,0.3,0.007486054673790932,0.005354264035041741,0.012466792996615406,0.0021317906387491904,0.004980738322824474,0.007112528961573664,164.0,274.0
P3S_B009,0.3,0.0004258392145857215,0.007244820999767351,0.0021179637124827608,0.00681898178518163,0.0016921244978970393,-0.0051268572872845905,25.0,80.0
